date,arrivals_forecast,scenario,svr_contribution,tsformer_contribution,svr_contribution_pct,tsformer_contribution_pct,svr_raw_prediction,tsformer_raw_prediction,economic_indicators_pct,exchange_rates_pct,events_pct,weather_pct,google_trends_pct
2027-01,290646.5174023282,Baseline,215702.3045117032,74944.21,74.21465305676335,25.785346271243387,375424.8171869606,176154.98,3.5992088574395176,0.41615331964408586,0.0,-7.9459676160885895,7.288839166686123
2027-02,263178.8691856289,Baseline,195331.42582625386,67847.445,74.22002626224527,25.779974479883077,339969.779171789,159474.16,3.883209791434772,0.44845995893223467,0.2857142857142857,-9.042686333525452,7.794929673477369
2027-03,291053.14434184873,Baseline,216094.4077695831,74958.734,74.24568741843764,25.754311826626143,376107.26373866166,176189.12,4.1680143273536086,0.4807665982204057,0.0,-4.048278099889457,8.303448108145407
2027-04,281129.40307578736,Baseline,209149.9614253967,71979.445,74.39633106218125,25.603670240460634,364020.6172601611,169186.34,4.46329719021219,0.5141683778234096,0.0,2.2921535980935603,8.8316987037383
2027-05,290081.58211695665,Baseline,216208.55916773793,73873.02,74.53370792791864,25.46629224040687,376305.9415779222,173637.17,4.759434172102273,0.547570157426458,0.5161290322580645,11.260238235510567,9.362539992680219
2027-06,280449.254182425,Baseline,209174.26736601876,71274.984,74.58542472356025,25.4145744059057,364062.9211814625,167530.53,5.056418419533459,0.5809719370294397,0.26666666666666666,9.153185543162735,9.895956314097809
2027-07,289904.4540175544,Baseline,216176.81168357,73727.64,74.56829610161145,25.431703308889354,376250.68582408654,173295.45,5.354261707327956,0.6143737166324437,0.0,5.2890863194377635,10.43198866307442
2027-08,290041.4392677061,Baseline,216254.48687512797,73786.95,74.55985855715144,25.440141695371736,376385.87767869665,173434.86,5.657863327390289,0.6483230663929085,0.0,5.664130864285877,10.979480416516862
2027-09,280722.0401234474,Baseline,209286.5056996193,71435.53,74.5529298688431,25.44706900056235,364258.2693765999,167907.9,5.957432157530307,0.6817248459959346,0.0,8.341831880569138,11.520783372726328
2027-10,290333.0291508152,Baseline,216439.51499065896,73893.516,74.54870554125903,25.45129496328011,376707.91478722414,173685.33,6.257867504055992,0.7151266255989386,0.25806451612903225,12.637961874222881,12.06474103482753
2027-11,280943.5748768449,Baseline,209358.22331434488,71585.35,74.51966944113944,25.480330558860558,364383.09220804065,168260.05,6.559162413999986,0.7485284052019203,0.26666666666666666,12.517197233997068,12.611337354988073
2027-12,291021.151025028,Baseline,216586.64345666865,74434.51,74.42299045750185,25.577009626389174,376963.9884419759,174956.94,6.861328833093472,0.7819301848049687,0.0,2.41586962814635,13.160614341224663
2028-01,291078.6431205609,Baseline,216229.8879936078,74848.76,74.28572762174387,25.714273300875128,376343.06390061195,175930.61,7.169337165409906,0.8158795345654113,0.0,-7.9459676160885895,13.721633878374572
2028-02,272888.150089623,Baseline,202666.06366384175,70222.086,74.26708107232996,25.73291874873914,352735.5448206191,165055.72,7.468262535066517,0.8487337440109544,0.0,-9.042686333525452,14.267189575766515
2028-03,291494.2364775379,Baseline,216588.181057616,74906.055,74.30273190815076,25.697267840584608,376966.6646004707,176065.3,7.768043148015313,0.8815879534565862,0.25806451612903225,-4.048278099889457,14.815391683117806
2028-04,281668.6155227033,Baseline,209756.06278832827,71912.555,74.46909283772204,25.530907855690316,365075.52250973857,169029.12,8.073682500516322,0.914989733059568,0.0,2.2921535980935603,15.375404315211295
2028-05,290275.4483367063,Baseline,216466.88803397195,73808.56,74.5729235022592,25.427077254699622,376755.55692904035,173485.66,8.380205928663331,0.9483915126625719,0.0,11.260238235510567,15.938163410845796
